tejId,date,currencyType,nav,price,premiumPrice,premiumpPercentageChange,dayNavPercentageChange,weekNavPercentageChange,monthNavPercentageChange,3monthsNavPercentageChange,6monthsNavPercentageChange,9monthsNavPercentageChange,yearNavPercentageChange,2yearsNavPercentageChange,3yearsNavPercentageChange,4yearsNavPercentageChange,5yearsNavPercentageChange,6yearsNavPercentageChange,thisYearNavPercentageChange,fromStartNavPercentageChange,lastHalfYearEndNavPercentageChange,lastMonthEndNavPercentageChange,lastQuarterEndNavPercentageChange,lastWeekEndNavPercentageChange,last2YearEndNavPercentageChange,last3YearEndNavPercentageChange,last4YearEndNavPercentageChange,last5YearEndNavPercentageChange,fundTongYiNumber,tejCategoryCode
T0102Y 兆豐國際第一,2016-08-31 00:00:00,NTD,12.11,None,None,None,-0.16488,1.423786,1.679261,6.042032,3.06383,2.453469,4.848485,-7.627765,14.67803,18.72549,3.859348,-0.819001,3.415884,123.363512,6.22807,1.679261,6.22807,0.748752,-2.022656,11.305141,25.883567,27.205864,965469,1110
T0103Y 兆豐國際國民,2016-08-31 00:00:00,NTD,21.44,None,None,None,-0.832562,-0.232666,0.704556,7.2,8.030549,6.622815,8.936131,-4.834837,7.616988,14.317288,5.18155,4.574311,7.036082,225.318435,6.29648,0.704556,6.29648,-0.969977,0.561354,-0.629506,10.804771,28.829213,1050148,1110
T0104Y 兆豐國際全球,2016-08-31 00:00:00,NTD,27.86,None,None,None,-0.143369,-0.571021,1.345944,0.360231,5.330813,-11.527469,-10.186976,-14.224138,-4.063361,8.615984,2.238532,-2.55334,-10.331509,178.6,5.810862,1.345944,5.810862,0.035907,-16.51183,-12.251958,2.577331,10.996026,992769,1211
T0105Y 兆豐國際萬全,2016-08-31 00:00:00,NTD,17.87,None,None,None,-0.223339,1.074661,3.235124,6.369048,6.242568,9.631902,10.856079,5.241461,20.174849,28.468728,23.071625,15.66343,7.975831,294.277127,6.750299,3.235124,6.750299,0.562746,8.8307,12.744487,26.379073,30.628657,971976,2200
T0107Y 兆豐國際中小,2016-08-31 00:00:00,NTD,13.14,None,None,None,0.152439,1.545595,1.62413,5.882353,5.711987,5.967742,11.450382,-1.720269,17.847534,16.903915,5.457464,-3.806735,6.916192,31.4,6.138934,1.62413,6.138934,0.921659,4.95207,12.211773,22.574615,29.458117,81584996,1130
T0108Y 兆豐國際電子,2016-08-31 00:00:00,NTD,21.49,None,None,None,0.093153,1.944972,2.528626,6.862258,7.021912,6.228374,13.824153,-0.324675,24.435437,31.840491,32.083589,25.087311,7.289066,135.635965,5.966469,2.528626,5.966469,0.5145,5.343137,17.947315,32.164822,49.756098,73991751,1120
T0109Y 兆豐國際生命科學,2016-08-31 00:00:00,NTD,16.4,None,None,None,-0.606061,-2.031063,-4.651163,-4.428904,0.1221,-15.42032,-17.129864,-9.191584,14.365411,28.02498,36.099585,49.090909,-16.708989,64,3.339635,-4.651163,3.339635,-1.264299,-15.767847,0.985219,31.726902,30.055512,14699772,1211
T0110Y 兆豐豐台灣,2016-08-31 00:00:00,NTD,27.79,25.85,-1.94,-6.980928,-0.643547,0,0.907771,6.149733,5.866667,4.591645,7.255886,-5.121202,8.216511,26.088929,38.052658,50.216216,4.631024,177.9,5.745814,0.907771,5.745814,-0.608011,1.054546,0.180246,26.952953,50.460212,10341837,1110
T0112Y 兆豐國際綠鑽,2016-08-31 00:00:00,NTD,7.21,None,None,None,-0.414365,-0.688705,1.40647,1.264045,5.56369,-4.376658,-2.960969,-20.155039,-7.564103,-2.170963,-10.434783,-23.864836,-0.688705,-27.9,2.414773,1.40647,2.414773,-0.138504,-13.132532,-18.806309,-2.830191,-5.256246,25637773,1211
T0114Y 兆豐國際全球高股,2016-08-31 00:00:00,NTD,10.16,None,None,None,-0.294406,-0.684262,-1.263362,-1.071081,3.252033,-2.868069,0,1.094527,14.672686,23.45079,10.675381,None,-1.835749,1.6,-1.071081,-1.263362,-1.071081,-0.098328,-0.781248,3.673471,18.139537,21.968789,26278352,1211
T0115Y 兆豐國際民生動力,2016-08-31 00:00:00,NTD,10.23,None,None,None,-0.389484,-1.15942,-1.729107,-0.486381,3.125,-2.941176,0,-1.917546,6.010363,19.92966,10.355987,None,-2.292264,2.3,0.788177,-1.729107,0.788177,-0.292398,-0.486377,-2.292264,13.793099,23.999998,26299315,1211
T0116A 兆豐國際全債組 A,2016-08-31 00:00:00,NTD,10.84,None,None,None,0,-0.092166,0.649954,1.879699,4.7343,3.533906,3.238095,1.879699,9.939148,None,None,None,3.930968,8.4,1.593252,0.649954,1.593252,0.092336,3.238097,6.274514,None,None,31829638A,5223
T0116Y 兆豐國際全債組 B,2016-08-31 00:00:00,NTD,10.81,None,None,None,0,-0.092421,0.651769,1.885014,4.748062,3.544061,3.148855,1.885014,9.945176,10.132462,None,None,3.942308,12.665509,1.597744,0.651769,1.597744,0.092593,3.24738,6.280338,6.994783,None,31829638B,5223
T0117A 兆豐國際新高債 A,2016-08-31 00:00:00,NTD,9.9622,None,None,None,-0.148341,-0.447687,1.006803,4.240915,10.017559,6.34514,4.77152,-1.575822,9.398988,None,None,None,9.140109,-0.378,2.738045,1.006803,2.738045,-0.107291,2.330693,4.772618,None,None,31923107A,3522
T0117B 兆豐國際新高債 B,2016-08-31 00:00:00,NTD,8.5261,None,None,None,-0.148733,-0.4472,1.00619,4.240341,10.017331,6.344124,4.771414,-1.573084,9.402177,None,None,None,9.139773,-0.375199,2.738286,1.00619,2.738286,-0.106617,2.334196,4.776335,None,None,31923107B,3522
T0118Y 兆豐人民幣貨幣市,2016-08-31 00:00:00,RMB,10.7716,None,None,None,0.006499,0.04644,0.219576,0.624959,1.434181,2.45299,3.322718,6.477665,None,None,None,None,2.145011,7.716,0.413901,0.219576,0.413901,0.033432,5.486026,None,None,None,38522710,4200
T0119A 兆豐中國 A股,2016-08-31 00:00:00,NTD,14.35,None,None,None,0.139567,-0.416378,0.139567,6.139053,10.725309,-1.644962,3.311735,43.643644,None,None,None,None,-6.636304,43.5,4.212055,0.139567,4.212055,0.209497,5.904057,None,None,None,38592074A,1234
T0119B 兆豐中國 A股 $,2016-08-31 00:00:00,USD,13.7,None,None,None,0.073046,-0.291121,0.883652,9.163347,16.794544,1.783061,7.198748,37,None,None,None,None,-2.767921,37,6.119287,0.883652,6.119287,0.073046,6.449092,None,None,None,38592074B,1234
T0120A 兆豐策略ETF,2016-08-31 00:00:00,NTD,9.9704,None,None,None,-0.127215,-0.325902,-0.409533,1.011083,2.013588,-0.292012,0.539483,None,None,None,None,None,0.952786,-0.296,0.569907,-0.409533,0.569907,-0.056135,None,None,None,None,42312011A,5240
T0120B 兆豐策略ETF USD,2016-08-31 00:00:00,USD,10.0165,None,None,None,-0.135592,-0.260886,-0.104717,2.389933,4.881522,1.573829,2.613355,None,None,None,None,None,3.148041,0.165,1.403132,-0.104717,1.403132,-0.12663,None,None,None,None,42312011B,5240
T0121A 兆豐大中華平衡,2016-08-31 00:00:00,NTD,9.63,None,None,None,0,-0.41365,-0.823893,0.3125,3.215434,None,None,None,None,None,None,None,-3.892216,-3.7,-0.207254,-0.823893,-0.207254,-0.310559,None,None,None,None,42334401A,2321
T0121B 兆豐大中華平衡 $,2016-08-31 00:00:00,USD,9.91,None,None,None,-0.100806,-0.40201,-0.40201,2.481903,7.135135,None,None,None,None,None,None,None,-0.800801,-0.9,1.122449,-0.40201,1.122449,-0.40201,None,None,None,None,42334401B,2321
T0121C 兆豐大中華平衡 C,2016-08-31 00:00:00,RMB,10.17,None,None,None,-0.098232,-0.098232,0.098425,3.77551,9.945946,None,None,None,None,None,None,None,1.801802,1.7,1.7,0.098425,1.7,-0.196271,None,None,None,None,42334401C,2321
T0123A 兆豐美元貨市,2016-08-31 00:00:00,NTD,10.0107,None,None,None,0.019983,-0.136667,None,None,None,None,None,None,None,None,None,None,None,0.107,None,None,None,0.177124,None,None,None,None,42406642A,4200
T0123B 兆豐美元貨市 $,2016-08-31 00:00:00,USD,10.0032,None,None,None,0.001,0.006998,None,None,None,None,None,None,None,None,None,None,None,0.032,None,None,None,0.004999,None,None,None,None,42406642B,4200
T0306Y 第一金全家福貨幣,2016-08-31 00:00:00,NTD,176.543,None,None,None,0.001133,0.005665,0.026063,0.075393,0.168514,0.270352,0.39637,0.933046,1.466743,2.104636,2.851766,3.405397,0.231641,76.543,0.049304,0.026063,0.049304,0.003965,0.757355,1.281058,1.878975,2.604306,1032249,4100
T0310Y 第一金台灣貨幣,2016-08-31 00:00:00,NTD,15.1328,None,None,None,0.000661,0.005287,0.02644,0.077375,0.172771,0.275657,0.40806,0.972169,1.523578,2.174089,2.927413,3.468599,0.235805,51.328,0.050909,0.02644,0.050909,0.003965,0.78522,1.329154,1.943511,2.678092,20081472,4100
T0311Y 第一金店頭,2016-08-31 00:00:00,NTD,8.08,None,None,None,0.123916,1.63522,1.891551,3.061224,-3.0012,1.763224,19.881306,1.253133,16.931983,27.64613,8.456376,1.63522,1.507538,-19.2,3.589744,1.891551,3.589744,0.873908,6.036748,14.935989,26.44757,30.322576,20092528,1140
T0313Y 第一金小型,2016-08-31 00:00:00,NTD,26.75,25.4,-1.35,-5.046729,0.224803,1.595139,1.672368,5.814873,2.411945,1.827179,8.695652,3.082852,31.320569,48.776418,40.27268,44.829453,2.255352,167.5,4.126119,1.672368,4.126119,0.82925,9.541358,20.985968,49.10813,67.396747,73989002,1130
T0314Y 第一金電子,2016-08-31 00:00:00,NTD,24.43,23.65,-0.78,-3.192796,0.081934,1.411374,0.617792,8.337029,7.811121,12.528789,18.765192,-8.261359,14.47985,41.377315,46.726727,52.59213,13.364269,144.3,6.727829,0.617792,6.727829,0.287356,-5.675679,3.824897,43.705872,70.125345,19341318,1120
T0316Y 第一金亞洲科技,2016-08-31 00:00:00,NTD,16.13,None,None,None,0.435866,0.310945,2.673456,10.027285,18.690213,6.891981,11.088154,6.750496,25.525292,33.305785,29.975826,28.219396,8.182428,61.3,10.177596,2.673456,10.177596,1.574307,8.400548,14.316082,29.871171,40.139005,17612378,1222
T0318Y 第一金大中華,2016-08-31 00:00:00,NTD,19.77,None,None,None,-0.201918,1.177073,3.670687,7.73842,6.864865,6.005362,7.914847,-5.451937,19.600726,27.878396,10.694289,8.150985,5.496265,97.7,8.985667,3.670687,8.985667,0.25355,2.117752,12.202026,32.684548,33.041703,15739619,11A0
T0320Y 第一金中概平衡,2016-08-31 00:00:00,NTD,20.45,None,None,None,0.146915,1.640159,1.187531,3.701826,3.02267,2.352352,3.96543,1.037549,17.663982,27.892433,19.66062,31.850419,3.439555,104.5,2.557673,1.187531,2.557673,0.689316,4.44332,11.383451,26.939793,34.62805,99353151,2200
T0326A 第一金全球不動 A,2016-08-31 00:00:00,NTD,7.9653,None,None,None,-0.192966,-1.609516,-3.796077,-0.325354,3.598835,2.23326,3.534198,3.339431,21.359356,30.367109,37.051567,41.570098,0.375528,-20.347,-1.411013,-3.796077,-1.411013,-0.631245,-2.130558,9.094275,23.527493,46.590709,48892846A,7100
T0326B 第一金全球不動 B,2016-08-31 00:00:00,NTD,5.9897,None,None,None,-0.191628,-1.608187,-3.795374,-0.324416,3.599629,2.234614,3.536305,3.341788,21.361488,30.363058,37.02887,41.548177,0.375803,-20.344677,-1.409067,-3.795374,-1.409067,-0.630423,-2.129447,9.097443,23.524528,46.577116,48892846B,7100
T0331Y 第一金全球大趨勢,2016-08-31 00:00:00,NTD,18.42,None,None,None,0,-0.216685,-1.549973,-2.950474,-3.661088,-6.828528,-2.073365,3.193277,19.921875,35.840708,23.624161,20.078227,-5.635246,84.2,-1.655099,-1.549973,-1.655099,0.545852,-1.127213,6.412476,32.137724,41.14942,10338642,1211
T0332A 第一金全球高收 A,2016-08-31 00:00:00,NTD,14.5069,None,None,None,-0.020676,0.08555,1.389423,2.967605,7.545351,3.782318,2.515017,-1.090217,6.544603,9.582801,20.345268,24.660783,6.343877,45.069,3.015864,1.389423,3.015864,0.150499,2.436831,2.937642,6.660537,16.81402,25593418A,3521
T0332B 第一金全球高收 B,2016-08-31 00:00:00,NTD,9.7765,None,None,None,-0.021475,0.08497,1.467316,3.04673,7.629127,3.864138,2.5961,-1.00036,6.641435,9.68206,20.45431,24.768781,6.427621,45.166278,3.094384,1.467316,3.094384,0.150587,2.530976,3.030389,6.757852,16.921103,25593418B,3521
T0332C 第一金全球高收A$,2016-08-31 00:00:00,USD,9.3447,None,None,None,-0.041717,0.062106,1.602644,3.980194,9.838147,3.404891,1.905125,-6.689234,None,None,None,None,7.347417,-6.553,3.697498,1.602644,3.697498,0.037468,-0.262568,None,None,None,25593418C,3521
T0332D 第一金全球高收B$,2016-08-31 00:00:00,USD,8.3816,None,None,None,-0.040549,0.063274,1.695167,4.07125,9.942047,3.530645,1.831995,None,None,None,None,None,7.473305,-6.739512,3.789725,1.695167,3.789725,0.038193,-0.382376,None,None,None,25593418D,3521
T0334A 第一中國世紀CNY,2016-08-31 00:00:00,RMB,13.39,None,None,None,-0.297841,-0.149142,3.557618,7.377706,17.766051,0,5.599369,None,None,None,None,None,-3.041274,33.9,5.766193,3.557618,5.766193,-0.520059,19.022212,None,None,None,25620512B,1223
T0334Y 第一金中國世紀,2016-08-31 00:00:00,NTD,10.39,None,None,None,-0.287908,-0.574163,1.962709,2.769535,9.024134,-7.397504,-1.795841,33.376123,45.314685,51.900585,27.798278,18.33713,-8.699473,3.9,3.692615,1.962709,3.692615,-0.383509,10.41446,36.890653,27.641282,44.506265,25620512A,1223
T0335Y 第一金亞洲新興市,2016-08-31 00:00:00,NTD,11.62,None,None,None,0.172414,0.345423,0.432152,8.294501,9.622642,7.692308,11.730769,6.703398,28.539823,24.145299,18.450561,20.041322,2.922941,16.2,5.253623,0.432152,5.253623,0.606061,2.288737,18.329943,17.611329,31.596821,25652648,1224
T0336Y 第一金創新,2016-08-31 00:00:00,NTD,16.58,15.55,-1.03,-6.212304,-0.060277,1.96802,3.04537,8.436887,5.87484,8.153947,16.596343,14.661134,44.425087,60.814743,57.604563,None,9.656085,65.8,8.153947,3.04537,8.153947,0.790274,20.757466,31.69182,60.503393,89.269416,26202396,1110
T0343A 第一金全球多息 A,2016-08-31 00:00:00,NTD,10.4522,None,None,None,-0.054504,-0.384084,-0.584951,0.25418,2.250005,0.564776,2.443423,4.0434,None,None,None,None,1.643457,4.522,0.306133,-0.584951,0.306133,-0.027738,2.715237,None,None,None,38539992A,2310
T0343B 第一金全球多息 B,2016-08-31 00:00:00,NTD,9.5965,None,None,None,-0.054157,-0.384076,-0.583972,0.255117,2.250627,0.564506,2.443251,4.043874,None,None,None,None,1.64365,4.522476,0.307223,-0.583972,0.307223,-0.027086,2.715392,None,None,None,38539992B,2310
T0344A 第一人幣貨幣市場,2016-08-31 00:00:00,NTD,9.7143,None,None,None,0.028832,-0.457019,-0.870444,-3.689126,-6.192785,-5.273474,-4.484583,None,None,None,None,None,-3.958595,-2.857,-1.800372,-0.870444,-1.800372,0.039133,None,None,None,None,38646796A,4200
T0344B 第一人幣貨幣 CNY,2016-08-31 00:00:00,RMB,10.4694,None,None,None,0.005731,0.041089,0.195234,0.556116,1.287695,2.144474,2.900445,None,None,None,None,None,1.879081,4.694,0.370058,0.195234,0.370058,0.029619,None,None,None,None,38646796B,4200
T0345A 第一金人幣高債A,2016-08-31 00:00:00,NTD,9.7039,None,None,None,0.044332,-0.473841,-0.909834,-2.429239,-4.504212,None,None,None,None,None,None,None,-3.252211,-2.961,-0.874406,-0.909834,-0.874406,0.082509,None,None,None,None,42334486A,3524
T0345B 第一金人幣高債B,2016-08-31 00:00:00,NTD,9.4718,None,None,None,0.043305,-0.47494,-0.909746,-2.430023,-4.504979,None,None,None,None,None,None,None,-3.252988,-2.961779,-0.875202,-0.909746,-0.875202,0.082418,None,None,None,None,42334486B,3524
T0345C 第一金人幣高債AC,2016-08-31 00:00:00,RMB,10.335,None,None,None,-0.050289,-0.023217,0.542844,1.93514,3.083015,None,None,None,None,None,None,None,2.709095,3.35,1.099525,0.542844,1.099525,-0.107287,None,None,None,None,42334486C,3524
T0345D 第一金人幣高債BC,2016-08-31 00:00:00,RMB,10.0944,None,None,None,-0.049508,-0.02377,0.528941,1.876837,3.024055,None,None,None,None,None,None,None,2.650349,3.290887,1.041699,0.528941,1.041699,-0.112807,None,None,None,None,42334486D,3524
T0346A 第一機器人自動,2016-08-31 00:00:00,NTD,10.12,None,None,None,-0.589391,-0.978474,0.19802,1.301301,None,None,None,None,None,None,None,None,None,1.2,1.606426,0.19802,1.606426,-0.098717,None,None,None,None,42399017A,1211
T0346B 第一機器人自動$,2016-08-31 00:00:00,USD,10.4289,None,None,None,-0.598568,-0.776366,0.8988,4.182734,None,None,None,None,None,None,None,None,None,4.289,3.467468,0.8988,3.467468,-0.198094,None,None,None,None,42399017B,1211
T0405Y 匯豐安富,2016-08-31 00:00:00,NTD,22.81,None,None,None,-0.175055,0.440335,1.108156,5.260729,5.846868,5.945193,5.455386,-0.826087,10.620757,15.728057,15.610745,19.926393,5.945193,181.516519,3.728968,1.108156,3.728968,-0.087604,1.063361,6.538998,14.221333,21.978618,971080,2200
T0406Y 匯豐成功,2016-08-31 00:00:00,NTD,33.8,None,None,None,-0.821596,-0.529723,0.955795,6.590981,6.624606,9.208401,6.289308,2.176542,7.063668,22.065728,19.014085,43.40263,8.263933,652.875882,6.793049,0.955795,6.793049,-1.285047,5.856557,0.535402,19.392442,29.750482,76941376,1110
T0408Y 匯豐龍鳳,2016-08-31 00:00:00,NTD,42.1,None,None,None,-0.331439,0.983449,2.632862,10.267156,11.968085,11.582295,8.954451,-1.589528,17.597765,27.036814,23.315759,41.227776,11.938314,373.498315,7.645104,2.632862,7.645104,-0.071208,1.592657,10.672968,22.135176,34.935873,1031298,1110
T0410Y 匯豐龍騰電子,2016-08-31 00:00:00,NTD,30.09,None,None,None,-0.298211,1.074908,3.047945,12.192394,13.718821,15.730769,18.185389,4.22584,33.141593,31.569742,22.019465,30.712424,16.537568,200.9,8.942795,3.047945,8.942795,-0.099602,7.349255,28.809924,32.147572,44.802707,92017794,1120
T0411Y 匯豐富泰貨幣市場,2016-08-31 00:00:00,NTD,15.7772,None,None,None,0.000634,0.002535,0.012678,0.034873,0.074213,0.128832,0.209601,0.625674,1.063339,1.644773,2.283969,2.674033,0.106596,57.772,0.024091,0.012678,0.024091,0.001902,0.480838,0.904335,1.439571,2.078821,92025871,4100
T0413Y 匯豐富泰二號貨幣,2016-08-31 00:00:00,NTD,14.9379,None,None,None,0.000669,0.003347,0.01473,0.042192,0.091127,0.150179,0.232836,0.659704,1.10596,1.703466,2.356448,2.761325,0.127355,49.379,0.028794,0.01473,0.028794,0.002008,0.512737,0.939267,1.494096,2.145776,97993027,4100
T0414Y 匯豐中小,2016-08-31 00:00:00,NTD,9.54,None,None,None,-0.31348,1.16649,4.605263,11.971831,9.655172,9.153318,10.672854,10.034602,24.057217,39.270073,30.684932,43.028486,9.781358,-4.6,10.672854,4.605263,10.672854,0.315457,13.033167,18.656708,40.500715,61.694888,97995664,1130
T0415Y 匯豐台灣精典,2016-08-31 00:00:00,NTD,19.76,None,None,None,-0.302725,0.970874,2.542813,10.083565,11.827957,11.073637,8.392759,-2.612124,16.509434,22.428748,16.78487,28.897586,11.512415,97.6,7.508161,2.542813,7.508161,-0.101112,0.662248,9.716829,19.612598,33.784696,73987671,1110
T0417Y 匯豐太平洋精典,2016-08-31 00:00:00,NTD,14.68,None,None,None,-0.068074,0.341763,3.23488,10.293013,15.864246,6.531205,8.49963,0.341763,12.576687,18.101368,8.982925,6.531205,7.231556,46.8,7.624633,3.23488,7.624633,0.341763,2.228411,7.153287,8.90208,19.738997,18031954,1222
T0425Y 匯豐金磚動力,2016-08-31 00:00:00,NTD,11.62,None,None,None,-0.513699,0.519031,3.657449,8.294501,18.089431,2.922941,6.801471,-10.339506,12.706111,10.456274,-3.085905,-9.289617,4.496403,16.2,7.294552,3.657449,7.294552,0.780572,-4.519312,2.831855,-0.768577,7.096773,48686374,1224
T0427Y 匯豐五福全球債券,2016-08-31 00:00:00,NTD,13.4994,None,None,None,-0.008148,-0.076242,0.457661,2.716399,5.348837,5.047157,5.196141,4.499079,10.772488,10.173102,15.128566,12.149207,5.952437,34.994,1.336957,0.457661,1.336957,0.068939,4.267422,8.812591,8.087718,16.090901,48745129,5221
T0428Y 匯豐新鑽動力,2016-08-31 00:00:00,NTD,9.18,None,None,None,-0.756757,-0.433839,2.569832,8.510638,16.645489,6.868452,7.242991,-10.26393,5.517241,1.436464,-7.459677,-8.2,8.767773,-8.2,6.25,2.569832,6.25,-0.108814,-8.747522,-1.713069,-7.738706,0.657884,48784327,1224
T0429Y 匯豐全球趨勢組合,2016-08-31 00:00:00,NTD,10.25,None,None,None,-0.291829,-0.581959,-0.291829,-0.097466,4.805726,-3.665414,-2.287893,-2.843602,8.695652,15.558061,21.733967,18.49711,-1.157184,2.5,2.5,-0.291829,2.5,0.195503,-4.562383,-0.485441,12.144415,21.733953,48865209,5211
T0431Y 匯豐全球關鍵資源,2016-08-31 00:00:00,NTD,7.13,None,None,None,-0.27972,-1.10957,0.140449,0.991501,6.736527,-0.834492,-1.383126,-17.857143,-1.925722,1.134752,-9.632446,-5.812417,2.442529,-28.7,1.71184,0.140449,1.71184,-0.418994,-8.823526,-11.207964,-1.519332,-4.55153,48925001,1212
T0436A 匯豐中國動力 CNY,2016-08-31 00:00:00,RMB,2.93,None,None,None,0,0.687285,4.270463,10.566038,18.145161,3.533569,None,None,None,None,None,None,-1.013514,-70.7,7.326007,4.270463,7.326007,0,None,None,None,None,25500903B,1223
T0436B 匯豐中國動力 USD,2016-08-31 00:00:00,USD,0.44,None,None,None,0,0,4.761905,10,15.789474,0,None,None,None,None,None,None,-2.222222,-95.6,7.317073,4.761905,7.317073,0,None,None,None,None,25500903C,1223
T0436Y 匯豐中國動力,2016-08-31 00:00:00,NTD,13.9,None,None,None,0,0.2886,2.734664,5.783866,9.794629,-4.005525,0.870827,14.027892,26.824818,41.692151,30.27179,22.46696,-6.836461,39,5.30303,2.734664,5.30303,0.216294,-5.119455,18.600686,22.683152,39.418266,25500903A,1223
T0438Y 匯豐雙高收益債券,2016-08-31 00:00:00,NTD,12.4041,None,None,None,-0.017733,-0.070089,1.252173,4.032441,8.541302,6.784607,6.058741,1.786418,8.478653,7.673545,16.563454,14.33404,8.457785,24.041,2.653205,1.252173,2.653205,0.073417,5.230971,5.402657,5.142662,15.300105,25617919,5223
T0439Y 匯豐黃金及礦業股,2016-08-31 00:00:00,NTD,5.46,None,None,None,-2.150538,-6.346484,-15.61051,4.597701,15.923567,48.369565,40.721649,-8.080808,-10.197368,-33.495737,-50.49864,-47.5,47.96748,-45.4,-10.049423,-15.61051,-10.049423,-5.699482,15.923569,1.865682,-32.758615,-41.54175,25651866,1212
T0440A 匯豐資源豐富國-A,2016-08-31 00:00:00,NTD,9.1976,None,None,None,-0.108606,-1.00847,-0.950904,3.413537,5.394876,4.295369,2.059476,-9.296569,-2.277943,-13.496229,-10.688172,-7.730583,5.774251,-8.024,-0.249441,-0.950904,-0.249441,-0.130299,-6.588259,-3.600218,-12.328666,-10.169161,25695077A,3511
